ES,SI,AT,MK,PT,DE,AL,RS,NL,ME,DK,LU,RO,FR,GR,BG,SK,CH,HR,CZ,BA,HU,IT,PL,BE
73,884,217,65,97,202,89,867,844,870,194,323,398,318,8,1,377,173,174,172,524,768,41,325,509
74,885,218,66,98,203,90,868,845,1022,195,324,399,517,9,2,378,766,536,175,525,769,42,326,510
75,886,446,67,99,204,94,869,846,1023,196,,400,518,10,3,379,908,537,176,526,770,43,327,511
76,889,447,68,100,205,96,871,847,,197,,401,552,11,4,380,909,540,177,527,771,44,328,512
77,891,449,69,104,206,444,872,850,,198,,402,553,12,390,381,910,541,179,528,772,45,329,513
78,892,450,70,108,207,445,873,851,,199,,403,554,13,391,382,911,542,180,529,773,46,330,514
79,894,451,71,109,208,,874,852,,200,,404,555,14,392,383,912,544,181,530,774,47,331,515
81,895,452,72,110,209,,875,853,,201,,405,556,15,393,385,913,545,182,531,775,48,332,519
82,896,453,,111,210,,876,854,,951,,406,557,16,394,386,914,546,183,532,776,49,334,520
86,897,454,,112,211,,877,855,,952,,407,571,17,395,387,915,547,184,533,777,50,335,521
87,,455,,113,212,,878,856,,953,,408,583,18,396,388,916,548,185,534,778,51,337,522
142,,456,,114,213,,879,857,,,,409,602,19,397,389,917,549,186,535,779,52,338,523
144,,457,,116,214,,880,858,,,,410,603,20,418,976,918,550,187,975,780,53,339,848
145,,458,,117,215,,881,859,,,,411,604,21,1017,,919,551,188,,781,54,340,849
146,,459,,118,216,,,860,,,,412,605,22,,,920,,189,,782,55,341,967
147,,460,,119,219,,,861,,,,413,607,23,,,921,,190,,783,56,343,968
148,,461,,120,220,,,862,,,,414,609,24,,,922,,191,,784,57,345,
149,,462,,121,221,,,863,,,,415,610,25,,,923,,192,,785,58,346,
150,,463,,122,222,,,864,,,,416,612,26,,,924,,193,,786,59,347,
151,,464,,123,223,,,865,,,,417,624,27,,,925,,1077,,,60,348,
152,,465,,124,224,,,866,,,,419,625,28,,,926,,,,,61,350,
153,,466,,125,225,,,980,,,,420,629,29,,,927,,,,,62,351,
154,,467,,126,232,,,981,,,,421,630,30,,,928,,,,,63,352,
155,,468,,127,233,,,1018,,,,422,633,31,,,929,,,,,64,353,
